gender,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,Yes,No,0.7976372672895247,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),1.3395541711295513,1.3645397198721039,No
Female,Yes,Yes,-0.9134874263371398,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,0.7030449434807029,-0.6285152816022346,No
Male,No,No,-0.5875589132653942,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.3590308178323692,-0.3918570949757994,No
Female,Yes,No,1.449494293433016,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),-0.21764986622546487,0.746612379005951,No
Female,Yes,Yes,1.1643068444952385,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,-1.5089492653981946,-0.4856027649508529,Yes
Female,Yes,Yes,1.6124585499688886,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.013354788195396781,1.1033973700286548,No
Male,No,No,-1.2394159394088855,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,-0.3771926491348368,-0.9545737506778208,No
Male,No,No,-0.8320052980692034,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),-0.644759191305763,-0.7783760067341201,Yes
Male,Yes,No,0.3494855618158745,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,-1.4973159374777196,-0.6104940551623242,No
Female,No,No,-0.2616304001936486,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),-0.6763353670899094,-0.48505131983335265,No
Male,Yes,No,0.14578024114603344,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),-1.4607540497276552,-0.6896374584259695,No
Male,Yes,Yes,1.6124585499688886,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1.6370349850959847,2.7285061313020837,No
Male,Yes,No,0.10503917701206525,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8326734545945673,0.3872907404427457,No
Male,No,No,-1.2801570035428536,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,-0.32401172149837965,-0.983006260936137,No
Female,Yes,Yes,-0.6690410415333305,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.6004730973459205,-0.17679349915067652,No
Female,No,No,0.6754140748876201,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),1.2215589879361617,1.2295459551080268,No
Female,Yes,No,0.8791193955574611,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,1.6569778329596565,1.6614818867436738,No
Female,No,Yes,-0.5875589132653942,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,5.95562862822574e-5,-0.4925950890407569,No
Female,Yes,No,0.14578024114603344,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,0.5185736007417416,0.2886702956289895,No
Female,No,No,1.1235657803612702,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.3661446349477804,1.814540993557061,Yes
Female,No,No,-1.2801570035428536,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,0.15794043520701498,-0.9766094975731333,Yes
Female,Yes,Yes,0.7976372672895247,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.3211541146819548,-0.4469133755070308,No
Male,Yes,Yes,-0.9949695546050762,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.9955400454812182,-0.6722117927129595,No
Male,Yes,Yes,1.6124585499688886,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),1.352849403038666,2.3505897633767674,No
Female,No,No,1.286530036897143,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,-1.3327874426024295,-0.28258273049193694,No
Female,No,No,-0.4245946567295214,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,0.16458805116157224,-0.32552927624286143,No
Male,Yes,No,1.1235657803612702,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),-0.1528356106685324,0.573105687235652,No
Female,Yes,Yes,-0.18014827192571217,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.5401783525940521,-0.02479316696288969,Yes
Female,Yes,No,1.1643068444952385,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.3427588665342656,-0.3817766782278936,No
Female,No,No,-0.34311252846158496,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.3079779953454052,0.09323814598687782,No
Male,Yes,Yes,-0.18014827192571217,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),0.9340495979015645,0.21398256891474673,No
Female,Yes,Yes,-0.09866614365777576,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),0.5318688326508556,0.03793922960394627,No
Male,Yes,No,-1.2394159394088855,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4890064175345232,-0.9905279723388414,No
Male,No,No,-1.2801570035428536,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.34241177794597627,-0.9741610812514321,No
Male,No,Yes,-1.0764516828730126,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.5006397454549982,-0.9627792540262256,No
Female,Yes,No,-0.34311252846158496,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.1546166272297366,-0.2952439103897442,No
Male,Yes,Yes,-1.157933811140949,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,1.2082637560270477,-0.8370497672361537,Yes
Male,No,No,-1.0357106187390444,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1633923483337865,-0.7102835636251813,Yes
Male,Yes,No,1.6124585499688886,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.7035111446415563,2.7005809505518674,No
Male,No,No,1.5309764217009523,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,-0.8225829180901671,0.22783487026635468,No
Male,Yes,No,1.286530036897143,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,1.239839931811194,1.877185158905097,No
Male,Yes,Yes,1.6124585499688886,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,0.8276877426286497,1.8994635416521097,No
Female,No,Yes,0.4717087542177791,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.4923302255118018,-0.6243242987092322,No
Female,Yes,Yes,-0.7912642339352352,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,-0.2940974497028722,-0.6833289262817659,Yes
Female,No,No,-0.6282999773993624,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,-1.4674016656822124,-0.8614456992343676,No
Male,No,No,-1.2801570035428536,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,-0.32567362548701884,-0.9830283187408371,Yes
Male,Yes,No,-0.954228490471108,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,0.1745594750934079,-0.7583034044571086,No
Male,Yes,No,-0.34311252846158496,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,-0.37220693716891895,-0.4270172356676195,No
Female,Yes,Yes,-1.2801570035428536,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.32911654603686225,-0.9743375436890322,Yes
Male,No,No,-0.34311252846158496,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.5135878887758235,-0.1860798349293818,Yes
Male,Yes,Yes,0.10503917701206525,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.37398795373012295,0.20465211752664136,No
Female,Yes,Yes,-1.0357106187390444,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.36235462580964806,-0.7628693700300113,No
Male,No,No,-1.117192747006981,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.0404114531744788,-0.8072717308911367,Yes
Female,No,Yes,-0.7097821056672988,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.13965949133198285,-0.5684298215994003,Yes
Male,Yes,Yes,-0.8727463622031716,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.5006397454549982,-0.9077009156902941,No
Female,Yes,No,0.6346730107536519,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),-0.6480829992830416,-0.06101208228031034,Yes
Female,No,No,-0.5060767849974578,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.5534735845031666,-0.2698553771800297,No
Female,Yes,No,1.6124585499688886,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),1.4525636423570234,2.5236332412483664,No
Female,Yes,Yes,-0.9949695546050762,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.6232735520260166,-0.7072837021859796,Yes
Male,Yes,Yes,1.6124585499688886,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),0.6548497278101634,1.6973699349905944,No
Female,No,No,-0.7097821056672988,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.175025676254262,-0.38305603090049434,No
Male,No,No,1.6124585499688886,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.7911258548785851,1.728736133274012,No
Male,No,Yes,-1.2801570035428536,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.3174832181163869,-0.9744919483219323,Yes
Male,Yes,Yes,1.2457889727631748,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.3295827471977157,1.9031251372323117,No
Female,No,No,-1.2394159394088855,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,-0.1927213063958755,-0.9569339357807222,No
Female,Yes,No,-1.2394159394088855,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.31914512210502655,-0.9457947444072158,Yes
Male,Yes,No,1.1643068444952385,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),-0.02486900354330712,0.7143638685345326,No
Male,No,No,-1.2801570035428536,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4757111856254088,-0.9982923195932458,No
Male,No,No,-0.4245946567295214,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),-0.6996020229308595,-0.6086632573722233,Yes
Male,Yes,No,-0.18014827192571217,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,-0.12956895482758246,-0.21954152465930088,No
Female,Yes,No,1.5309764217009523,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.4956540334890804,-0.39071008913139865,No
Female,No,No,-1.117192747006981,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,-1.2081446434544827,-0.9494783977921178,Yes
Female,No,No,-0.8320052980692034,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1.160068540356508,-0.4609421392962388,Yes
Male,No,No,0.06429811287809704,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),1.7101587605961137,0.7127977644008319,No
Female,Yes,No,1.5717174858349205,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),0.5285450246735772,1.4967100856345796,No
Female,Yes,Yes,1.5309764217009523,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),0.013354788195396781,0.9969464045463939,No
Female,Yes,Yes,0.7976372672895247,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),0.6398925919124097,0.9015022836094396,No
Male,No,Yes,1.490235357566984,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.48699742495759496,1.420191561130236,No
Female,No,No,-0.5060767849974578,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.9739352936289072,-0.22097528196480168,Yes
Male,No,Yes,-0.8727463622031716,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,0.4388022092870554,-0.6315151430414363,No
Male,Yes,No,-1.2394159394088855,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.977259101606186,-0.9333982581658088,Yes
Female,Yes,Yes,-1.0764516828730126,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,0.52189740871902,-0.7854565620428242,Yes
Female,No,No,-1.2801570035428536,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.493992129500441,-0.998534955444946,No
Male,Yes,Yes,-0.5060767849974578,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),0.9805829095834644,-0.20513777819019272,No
Male,No,No,1.1643068444952385,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.3844255788228126,1.7720576617048367,No
Female,Yes,No,-1.117192747006981,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.3174832181163869,-0.8595928436395666,Yes
Female,No,No,0.9606015238253974,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.3511874990500268,1.6030066464839403,No
Male,No,No,-0.09866614365777576,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),1.0038495654244146,0.251061738615468,No
Male,No,No,0.30874449768190626,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),1.3295827471977157,0.8155430186934903,Yes
Female,No,No,-0.18014827192571217,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,-0.348940281327969,-0.3251322357582613,No
Female,Yes,No,-1.117192747006981,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.1745594750934079,-0.8737980698663748,No
Female,Yes,No,-0.22088933605968036,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.34573558592325515,-0.15614739395146474,Yes
Male,No,No,-0.8320052980692034,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),-1.487344513545884,-0.890187018758484,No
Male,Yes,Yes,1.4087532292990477,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,1.3495255950613876,2.0761465572992104,No
Male,Yes,No,-0.13940720779174395,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,-0.43868309671449063,-0.37114481636248753,No
Male,Yes,Yes,0.9198604596914293,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),0.6880878075829492,1.0720532295499368,No
Female,No,No,-0.3838535925955532,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.3590308178323692,-0.23147479700200776,Yes
Male,Yes,No,0.06429811287809704,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.171701868276983,0.5279313032100261,Yes
Male,No,No,0.7976372672895247,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,0.8792067662764678,1.0830380162905433,No
Male,Yes,Yes,1.6124585499688886,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1.6935397207097207,2.6980443030113657,No
Male,Yes,Yes,1.0420836520933339,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),0.9938781414925789,1.3883400911434178,No
Male,Yes,Yes,0.10503917701206525,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.5023016494436374,-0.7042397251373778,No
Female,No,No,0.9606015238253974,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),1.1667161563110655,1.5100771152827874,No
Female,Yes,Yes,-0.34311252846158496,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),-1.4524445297844586,-0.7908386663896273,No
Male,Yes,Yes,1.5309764217009523,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.487344513545884,-0.40720932704700813,No
Male,No,No,-1.2394159394088855,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.5036164648439879,-0.9303322233125071,No
Male,Yes,Yes,1.449494293433016,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),1.4076922346637628,2.248351838592209,No
Female,No,No,-1.2801570035428536,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6714687676965563,-0.9697936359208296,Yes
Male,No,No,-0.8320052980692034,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.8227020306627317,-0.5565406648660934,No
Female,Yes,No,1.2457889727631748,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.556797392480445,1.2113041506211166,No
Female,Yes,Yes,0.02355704874412884,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,-0.2110022502709076,-0.1446552777027581,No
Female,Yes,No,1.490235357566984,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),1.0254543172767256,1.9679530252456487,No
Female,Yes,Yes,1.1235657803612702,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.5252212166962984,1.1749749462801957,No
Female,Yes,Yes,1.6124585499688886,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.605458809311838,2.631584137450228,No
Female,No,No,-0.8727463622031716,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,-0.1943832103845147,-0.7418923977602994,No
Female,No,No,-1.2801570035428536,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.5039635534322768,-0.9986673022731459,No
Male,No,No,-0.9134874263371398,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0.7063687514579813,-0.6393236059052407,Yes
Male,No,No,-0.7912642339352352,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),-0.6397734793398451,-0.7439217157927005,Yes
Male,Yes,Yes,0.06429811287809704,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),0.47037838507120205,0.16053650812661616,No
Male,Yes,Yes,0.26800343354793804,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,0.7146782714011778,0.4335238990939722,Yes
Female,No,No,1.3272711010311113,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),1.3378922671409121,1.9679750830503489,No
Male,Yes,No,0.7161551390215882,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),1.2331923158566371,1.3156155090474762,No
Male,No,No,-0.7097821056672988,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4973159374777196,-0.8698276650203725,No
Male,Yes,Yes,1.6124585499688886,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.5123921859480378,2.5073545813797566,No
Female,Yes,Yes,1.6124585499688886,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.6885540087438027,2.619187651208821,No
Male,Yes,Yes,0.9198604596914293,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.5106111693868338,-0.4985286385050603,No
Female,Yes,Yes,-0.3838535925955532,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),-1.3028731708069223,-0.7802068045242212,No
Male,No,No,-0.017184015389839363,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.5169116967531019,0.1380154895279034,Yes
Female,Yes,Yes,0.9606015238253974,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),0.1313499713887864,0.6726305020421088,No
Female,No,No,-1.2801570035428536,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),-1.4923302255118018,-0.9985128976402459,No
Male,No,No,0.22726236941396985,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Mailed check,0.19284041896844,0.18744702986063153,No
Male,No,No,-0.8727463622031716,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.17954518705932596,-0.6719912146659595,No
Male,No,No,-1.2801570035428536,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,-0.5151306801918982,-0.9855429084766385,No
Male,Yes,No,0.9606015238253974,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,1.4110160426410412,1.6543351580208698,No
Male,Yes,No,-1.1986748752749172,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,-1.3693493303524942,-0.9680069537401285,No
Male,Yes,Yes,-1.0357106187390444,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),0.16292614717293305,-0.7795891859926208,No
Male,Yes,Yes,1.0828247162273021,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),1.1534209244019509,1.5786548300951264,No
Male,No,No,-1.0357106187390444,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),-0.016559483600110662,-0.8105583437914385,No
Male,Yes,Yes,1.5717174858349205,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),0.2011499389116365,1.1867538139900025,No
Male,Yes,Yes,-0.7097821056672988,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,1.2331923158566371,-0.27177440618893073,No
Male,Yes,No,1.5717174858349205,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),0.2892308503095191,1.3563121587189995,No
Female,No,No,0.10503917701206525,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1783494842315403,0.5489303332844381,Yes
Female,No,No,-0.8727463622031716,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),-0.8109495901696921,-0.8208593385863445,No
Female,Yes,Yes,1.1235657803612702,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),-1.5139349773641124,-0.5205864432050729,No
Male,No,No,0.5939319466196836,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),-0.17277845853220394,0.20765197896584314,No
Female,No,No,-0.8727463622031716,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),0.0033833642635611246,-0.6996958173691752,No
Male,Yes,No,0.9606015238253974,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),1.1800113882201795,1.469556928048864,Yes
Female,Yes,No,-0.18014827192571217,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.53067312982307,0.4063486837035567,No
Male,Yes,No,1.1643068444952385,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,0.5401783525940521,1.0871628257694455,No
Male,Yes,Yes,-0.057925079523807564,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),1.1052257087314112,0.3523952934073258,No
Male,No,No,-0.954228490471108,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.18951661099116163,-0.7435246753081002,No
Male,Yes,No,0.10503917701206525,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.9888924295266609,0.4773748148375973,No
Male,No,No,-1.2394159394088855,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,-1.5006397454549982,-0.9901750474636412,No
Female,Yes,Yes,-0.8320052980692034,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.522244497307309,-0.9042598981570921,Yes
Female,No,No,-1.2801570035428536,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0.34905939390053353,-0.9740728500326319,Yes
Female,No,No,-1.157933811140949,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.8110687027422568,-0.8545636641679637,Yes
Female,Yes,Yes,-1.2801570035428536,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,-1.522244497307309,-0.9989099381248462,No
